Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uf","C_0402_1005Metric",128.800000,-64.025000,180.000000,top
"C2","0.1uf","C_0402_1005Metric",128.800000,-62.250000,180.000000,top
"C3","0.1uf","C_0402_1005Metric",104.425000,-69.825000,0.000000,top
"C4","10uf","C_0402_1005Metric",104.375000,-58.650000,180.000000,top
"C5","0.1uf","C_0402_1005Metric",104.375000,-64.575000,0.000000,top
"C6","0.1uf","C_0402_1005Metric",104.375000,-66.350000,0.000000,top
"C7","0.1uf","C_0402_1005Metric",128.750000,-71.125000,180.000000,top
"C8","10uf","C_0402_1005Metric",128.775000,-69.350000,180.000000,top
"C9","10uf","C_0402_1005Metric",128.800000,-67.625000,180.000000,top
"C10","10uf","C_0402_1005Metric",128.800000,-65.825000,180.000000,top
"D1","LED","LED_0402_1005Metric",128.800000,-58.623200,0.000000,top
"D2","D","D_0603_1608Metric",128.750000,-76.325000,90.000000,top
"L1","L","L_0603_1608Metric",128.775000,-80.300000,90.000000,top
"PWR3","USB_B_Micro","USB_Micro-B_Molex-105017-0001",104.375000,-92.050000,270.000000,top
"R1","10k","R_0402_1005Metric",104.425000,-68.100000,180.000000,top
"R2","330","R_0402_1005Metric",128.800000,-60.425000,180.000000,top
"R3","10k","R_0402_1005Metric",128.750000,-73.000000,0.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P-B",104.325000,-61.425000,180.000000,top
"U1","ESP32-WROOM-32D","ESP32-WROOM-32",116.586000,-66.548000,0.000000,top
"U2","AP1117-33","SOT-223-3_TabPin2",106.800000,-104.100000,90.000000,top
"U3","AP1117-33","SOT-223-3_TabPin2",126.500000,-104.075000,90.000000,top
